conn RPS llc_misses(thousands) llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 9467.29 411.435 2466.43 0.0345618 1.172734375 127.14us 569.00us
2 24360.53 1074.84 3948.86 0.149126 3.01765625 86.54us 462.00us
3 43741.26 1901.6 4269.57 0.522954 5.418359375 70.81us 340.00us
4 56519.13 2489.12 4577.04 0.721065 7.04 72.90us 340.00us
6 79851.98 3619.34 5400 1.20286 9.92 76.80us 344.00us
10 125627.84 5849.85 4893.57 1.438 15.6 81.07us 353.00us
16 185753.35 9040.81 7348.52 5.19646 23.04 87.12us 359.00us
64 467164.31 27097.3 9134.96 24.6655 57.84 133.08us 424.00us
76 468525.78 27011.7 10251.1 19.6547 58.0 131.36us 422.00us
88 497573.88 29032.1 9331.48 23.9804 61.6 154.61us 458.00us
100 520473.13 30418.8 9847.3 24.6302 64.48 177.06us 491.00us
110 515266.77 30115.1 9720.35 21.3287 63.84 178.28us 493.00us
120 527610.08 30978.7 10083.1 29.6413 65.36 203.17us 527.00us
130 531805.14 31457.1 10015 27.3315 65.84 230.88us 566.00us
140 529212.86 31242.8 9847.3 23.5349 65.52 231.34us 567.00us
150 530654.58 31657 9875.48 28.6928 65.76 260.41us 611.00us
170 530559.03 31918.2 10311.7 33.6656 65.76 289.40us 643.00us
200 537645.98 32823.1 10367.3 44.0929 66.56 342.85us 720.00us
220 528552.46 32513.6 10277.6 39.8481 65.44 378.71us 764.00us
256 549609.21 34150.1 10241 39.858 68.08 447.08us 0.86ms
384 547003.98 34287.5 11632.7 47.1045 67.76 676.61us 1.19ms
496 557842.41 34941 12639.3 56.7416 69.12 0.86ms 1.42ms
512 560667.88 35024.9 12378.8 63.7233 69.44 0.88ms 1.48ms
750 561191.20 34946.6 13084.2 71.3853 69.52 1.27ms 1.92ms
850 565574.26 35315.3 13040.3 66.6625 70.08 1.45ms 2.24ms
950 557166.82 34876.8 13633.7 68.9866 69.04 1.64ms 2.42ms
1024 560416.59 35114.8 13522.8 89.6396 69.44 1.77ms 2.65ms
1148 546180.06 34093.7 13232.3 76.4454 67.68 2.02ms 2.90ms
1400 554400.01 34687.9 14203.8 98.8793 68.64 2.43ms 3.42ms
1500 553698.57 34702.6 14152.7 101.47 68.56 2.60ms 3.68ms
1600 552616.68 34711.7 14401.7 101.125 68.48 2.81ms 3.97ms
1700 544974.39 34242.6 14181.9 101.769 67.52 3.03ms 4.36ms
1800 544335.36 34226.3 14208.3 106.615 67.44 3.19ms 4.39ms
1900 530687.19 33331.1 13981.9 83.4921 65.76 3.48ms 4.85ms
2048 542049.91 34134.9 14461.2 96.4522 67.12 3.67ms 5.08ms
