conn RPS llc_misses(thousands) llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 7223.84 368.217 3394.78 0.048419 0.89484375 142.26us 583.00us
2 19063.76 1046.1 3839.65 0.096996 2.361484375 106.66us 412.00us
3 29889.86 1694.1 4293.57 0.138593 3.702578125 101.47us 381.00us
4 38763.21 2265.71 3937.39 0.256179 4.80171875 104.06us 380.00us
6 57033.37 3642.78 4861.57 0.446769 7.04 105.80us 377.00us
10 88608.65 6064.05 5898.43 0.866951 10.96 113.38us 382.00us
16 127742.11 9472.21 6733.57 1.80193 15.84 124.79us 397.00us
64 298611.79 27086.8 8527.3 14.9988 36.96 206.03us 518.00us
76 298011.66 26899.7 8694.96 34.9817 36.88 205.02us 515.00us
88 307975.92 27641.8 8698.78 28.3386 38.16 248.31us 577.00us
100 313668.86 28704.7 8602.09 22.8782 38.88 293.66us 644.00us
110 312062.94 28581.3 9901.91 22.1221 38.64 294.54us 643.00us
120 314241.00 29629.3 8757.22 21.4281 38.96 342.54us 704.00us
130 311802.65 29591.4 9543.3 22.6906 38.64 395.94us 775.00us
140 313216.03 29671.9 9645.91 22.723 38.8 394.14us 787.00us
150 315600.29 30399.8 9392.7 23.9848 39.12 440.36us 843.00us
170 312312.04 30401.6 9945.74 31.0721 38.72 496.43us 0.92ms
200 317569.26 31139.9 10356.5 35.3874 39.36 585.62us 1.02ms
220 314712.34 31069.9 10162.1 37.7869 38.96 641.94us 1.12ms
256 313236.96 31242.2 10466.4 39.4276 38.8 796.61us 1.33ms
384 312065.44 31493.4 11086.3 47.3301 38.64 1.21ms 2.63ms
496 308521.08 30963.6 11063 43.8621 38.24 1.61ms 4.40ms
512 307151.51 31323.3 10201 45.253 38.08 1.64ms 2.58ms
750 305007.32 31391.4 11248 54.3567 37.76 2.38ms 3.42ms
850 303863.06 31297.9 11186.4 48.1902 37.68 2.76ms 4.09ms
950 304950.45 31082.6 11326.6 48.2962 37.76 4.25ms 17.87ms
1024 300570.62 31277.3 12089 55.9072 37.2 3.64ms 12.21ms
1148 296920.23 31357.3 11704 63.8129 36.8 3.81ms 8.51ms
1400 295136.76 31997.5 11710.3 63.4192 36.56 4.73ms 10.92ms
1500 290815.99 32060 11485.2 62.0178 36.0 6.53ms 23.44ms
1600 293139.68 32214.3 11836.5 66.4524 36.32 5.80ms 16.63ms
1700 294913.26 31904.8 11796.2 62.9791 36.56 6.72ms 22.00ms
1800 293754.28 32355.8 12107.1 67.0049 36.4 6.66ms 21.93ms
1900 287182.80 32463.4 12067.5 72.477 35.6 7.03ms 20.16ms
2048 287915.18 32238.5 11812.2 74.1921 35.68 10.12ms 36.31ms
