conn RPS  mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 10767.76 7.85637 0.099453125 97.33us 555.00us
2 31875.47 11.2574 0.294453125 65.43us 352.00us
3 49890.81 14.7687 0.4609375 62.21us 330.00us
4 63372.28 21.3107 0.58546875 64.94us 326.00us
6 96525.70 29.5197 0.891796875 63.90us 320.00us
10 150443.05 43.0367 1.389921875 67.74us 322.00us
16 225605.49 67.9831 2.084296875 72.58us 330.00us
64 573570.71 144.938 5.2990625 110.51us 380.00us
76 573803.67 137.677 5.301171875 109.03us 376.00us
88 600437.93 147.896 5.547265625 130.85us 412.00us
100 608476.04 152.47 5.621484375 156.57us 449.00us
110 608574.24 149.78 5.622421875 155.35us 447.00us
120 609603.11 156.736 5.631953125 181.98us 485.00us
130 614132.42 172.347 5.67375 206.70us 519.00us
140 610249.10 178.341 5.637890625 206.73us 521.00us
150 617029.18 178.581 5.700546875 230.80us 553.00us
170 614645.46 165.947 5.678515625 257.94us 584.00us
200 618786.91 184.533 5.716796875 307.96us 655.00us
220 614164.07 166.048 5.6740625 335.39us 689.00us
256 625243.73 230.472 5.77640625 403.51us 779.00us
384 611355.66 197.814 5.648125 671.24us 2.05ms
496 619376.87 180.918 5.722265625 799.23us 1.45ms
512 613203.11 211.473 5.66515625 833.14us 1.74ms
750 617443.33 197.853 5.704375 1.19ms 1.96ms
850 609958.27 200.525 5.635234375 1.43ms 3.38ms
950 613452.88 193.972 5.6675 1.58ms 3.37ms
1024 606209.15 239.42 5.600546875 1.72ms 3.96ms
1148 611917.05 214.545 5.65328125 1.86ms 3.21ms
1400 600157.19 199.676 5.5446875 2.34ms 3.72ms
1500 596683.90 202.932 5.512578125 4.00ms 12.24ms
1600 591810.79 182.491 5.467578125 4.17ms 11.98ms
1700 586208.69 187.105 5.41578125 4.09ms 11.65ms
1800 583045.22 179.151 5.3865625 3.84ms 10.36ms
1900 582621.40 182.344 5.38265625 3.42ms 5.37ms
2048 577660.72 187.295 5.336796875 3.65ms 5.95ms
