conn RPS mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 10872.93 0.412089 0.102421875 96.44us 547.00us
2 32951.90 0.8387 0.3103125 63.31us 336.00us
4 63005.57 1.48533 0.593359375 65.37us 326.00us
8 124298.50 1.90738 1.170546875 65.81us 319.00us
16 220471.93 2.9752 2.076328125 73.67us 331.00us
32 388928.88 7.66267 3.662734375 82.62us 340.00us
64 575888.41 13.1798 5.4234375 110.28us 383.00us
128 607509.90 18.5542 5.72125 209.61us 515.00us
256 617429.56 18.1667 5.814609375 408.98us 767.00us
512 616029.21 24.9387 5.801484375 822.20us 1.38ms
1024 606111.84 28.466 5.708046875 1.72ms 3.14ms
1500 593459.34 31.0016 5.58890625 2.94ms 9.02ms
2048 581597.66 37.2612 5.4771875 4.87ms 13.28ms
