conn RPS  mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 12687.06 6.53955 0.1171875 84.09us 502.00us
2 33470.81 14.0077 0.30921875 64.80us 432.00us
3 57441.14 12.0406 0.530703125 54.81us 311.00us
4 74816.98 26.9634 0.691171875 55.98us 312.00us
6 107953.03 26.8063 0.99734375 58.09us 314.00us
10 172684.60 37.9076 1.595390625 60.21us 314.00us
16 262647.48 75.2589 2.426484375 63.00us 316.00us
64 739146.00 99.1142 6.8 85.88us 354.00us
76 736313.90 73.1666 6.8 84.91us 352.00us
88 805623.12 82.1118 7.44 97.26us 379.00us
100 846623.32 88.034 7.84 111.36us 406.00us
110 827030.72 82.0392 7.68 134.24us 1.25ms
120 844318.82 85.0702 7.84 154.97us 1.35ms
130 872176.81 92.5635 8.08 146.23us 490.00us
140 882847.67 98.1618 8.16 141.21us 454.00us
150 890386.45 101.76 8.24 157.88us 483.00us
170 897810.87 104.769 8.32 173.62us 505.00us
200 910058.73 110.584 8.4 218.22us 1.07ms
220 903145.79 110.46 8.32 249.14us 1.59ms
256 915228.17 160.43 8.48 279.48us 0.87ms
384 933096.61 125.652 8.64 399.36us 0.87ms
496 941344.97 125.847 8.72 511.17us 1.01ms
512 952565.67 183.443 8.8 522.72us 1.02ms
750 968159.46 131.479 8.96 743.74us 1.34ms
850 948753.20 134.8 8.8 0.87ms 1.71ms
950 938663.13 134.734 8.64 0.98ms 1.72ms
1024 940261.90 192.291 8.72 1.07ms 2.27ms
1148 958260.08 136.066 8.88 1.16ms 1.92ms
1400 944464.26 136.96 8.72 1.45ms 2.51ms
1500 941272.16 193.269 8.72 1.55ms 2.87ms
1600 947836.45 138.087 8.72 1.66ms 2.99ms
1700 945387.86 136.129 8.72 1.77ms 3.43ms
1800 944633.26 133.983 8.72 1.87ms 2.93ms
1900 950601.61 136.923 8.8 1.95ms 3.16ms
2048 940032.22 194.205 8.72 2.14ms 3.54ms
