conn RPS mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 13161.41 0.488533 0.123984375 81.36us 500.00us
2 31954.61 0.905778 0.3009375 67.74us 443.00us
3 55909.96 1.34258 0.5265625 56.77us 329.00us
4 73572.50 1.6976 0.692890625 56.92us 317.00us
6 107073.89 2.13387 1.008359375 58.48us 316.00us
8 101388.95 27.5878 0.95484375 84.11us 382.00us
10 170527.61 2.48587 1.6059375 60.94us 318.00us
16 256511.03 3.2384 2.415703125 64.23us 318.00us
32 454564.76 6.92951 4.280859375 71.37us 329.00us
64 729060.68 16.6627 6.88 87.67us 362.00us
76 727863.18 17.3352 6.88 86.00us 355.00us
88 806872.74 20.4132 7.6 97.09us 380.00us
100 849932.61 20.6195 8.0 110.77us 406.00us
110 826203.74 24.9753 7.76 132.72us 1.18ms
120 856964.13 21.1412 8.08 149.04us 1.27ms
128 887616.20 19.3844 8.32 141.10us 453.00us
130 886405.51 18.6966 8.32 141.56us 458.00us
256 921072.53 25.4548 8.64 270.69us 662.00us
512 933156.84 33.6265 8.8 541.49us 1.66ms
1024 949021.09 37.1109 8.96 1.05ms 1.80ms
1500 948049.53 38.2881 8.96 1.53ms 2.65ms
2048 936916.36 47.3005 8.8 2.12ms 3.41ms
