conn RPS mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 12911.22 6.31358682352941280000 0.119296875 82.75us 505.00us
2 33547.90 13.43993623188405760000 0.309921875 64.69us 436.00us
4 75591.01 24.38398186968838400000 0.698359375 55.79us 317.00us
8 144039.97 77.05241818181818400000 1.330703125 57.79us 313.00us
16 262009.96 71.11459903381642400000 2.420625 62.83us 316.00us
32 468076.04 113.81047878787877600000 4.324375 69.05us 322.00us
64 740235.40 95.08623002832861600000 6.8 85.69us 350.00us
128 910837.29 175.08381818181817600000 8.4 137.18us 444.00us
256 948013.56 154.29366499999997600000 8.72 262.48us 645.00us
512 973874.38 176.98880750000000000000 8.96 512.97us 1.12ms
1024 985680.67 185.78808000000001600000 9.12 1.02ms 2.71ms
1500 973587.61 186.85319499999997600000 8.96 1.48ms 3.13ms
2048 972108.30 187.79436250000000000000 8.96 2.04ms 3.18ms
