conn RPS mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 12864.27 6.70725 0.118828125 83.31us 506.00us
2 32554.84 14.386 0.30078125 66.47us 439.00us
3 57181.35 12.6554 0.52828125 55.10us 314.00us
4 74730.80 27.8765 0.690390625 56.19us 315.00us
6 107228.55 28.4711 0.990625 58.46us 317.00us
10 172519.80 40.2575 1.593828125 60.29us 316.00us
16 260781.30 77.3492 2.409296875 63.23us 316.00us
64 713202.95 101.969 6.5890625 94.37us 412.00us
76 709394.96 76.4355 6.55390625 93.61us 413.00us
88 781428.16 86.1092 7.2 107.50us 472.00us
100 822003.27 92.2212 7.6 123.07us 541.00us
110 821095.07 85.6904 7.6 121.99us 530.00us
120 849068.71 88.8237 7.84 136.37us 552.00us
130 860060.80 96.6942 7.92 154.82us 649.00us
140 859880.12 102.76 7.92 153.77us 642.00us
150 867919.45 106.758 8.0 172.29us 759.00us
170 873590.70 109.954 8.08 187.75us 733.00us
200 879053.83 116.218 8.16 223.08us 0.87ms
220 885639.38 115.905 8.16 235.89us 770.00us
256 895273.45 165.556 8.24 287.38us 0.92ms
384 910740.42 132.253 8.4 414.99us 0.95ms
496 927947.49 132.336 8.56 520.96us 1.02ms
512 924159.84 189.489 8.56 540.20us 1.05ms
750 929138.63 138.342 8.56 775.77us 1.37ms
850 923596.66 141.285 8.56 0.90ms 1.58ms
950 920895.42 141.127 8.48 1.01ms 1.73ms
1024 919481.06 198.127 8.48 1.10ms 1.91ms
