conn RPS llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 12504.21 5544.57 0.445479 0.115546875 85.54us 507.00us
2 33634.82 7798.95 1.04978 0.310703125 63.23us 385.00us
3 55191.49 8326.3 1.60086 0.509921875 56.85us 317.00us
4 72700.61 8520.65 1.84523 0.671640625 57.65us 320.00us
6 103415.12 8290.59 2.74263 0.955390625 60.58us 319.00us
10 165827.45 8436.61 4.79014 1.53203125 62.84us 322.00us
16 251875.76 8685.58 7.0447 2.32703125 65.82us 326.00us
64 721392.90 9682.51 25.8359 6.6646875 88.58us 368.00us
76 716608.23 9677.25 24.1135 6.620546875 87.58us 363.00us
88 778823.51 9768.65 27.2339 7.2 101.16us 392.00us
100 815525.75 9707.72 26.5451 7.52 116.22us 422.00us
110 801534.49 9953.54 28.7578 7.44 135.52us 1.15ms
120 818642.53 9631.03 29.8537 7.6 155.77us 1.25ms
130 848536.11 9725.58 29.7195 7.84 150.83us 496.00us
140 854838.13 9663.6 28.5224 7.92 146.28us 468.00us
150 855365.88 9789.66 28.8922 7.92 164.96us 502.00us
170 864647.30 9979.8 28.1988 8.0 180.74us 521.00us
200 868447.30 9935.68 31.5494 8.0 237.07us 1.46ms
220 870327.35 9912.57 30.8384 8.08 255.96us 1.56ms
256 888882.28 10070.1 30.6268 8.24 282.27us 701.00us
384 904660.73 9934.63 31.96 8.32 413.00us 0.87ms
496 909417.33 10505.1 34.2911 8.4 530.03us 1.02ms
512 910056.15 10213 36.7222 8.4 549.59us 1.05ms
750 909470.22 11175.3 42.4846 8.4 792.19us 1.44ms
850 897982.89 11329.7 45.658 8.32 0.93ms 2.08ms
950 898768.75 11114.3 46.1012 8.32 1.03ms 1.77ms
1024 901717.44 11316 45.3353 8.32 1.11ms 1.82ms
1148 895659.72 11554.5 48.1665 8.24 1.25ms 2.04ms
1400 884708.13 11206.8 52.2136 8.16 1.55ms 2.46ms
1500 878324.85 11363.3 51.1302 8.08 1.67ms 2.87ms
1600 871181.78 10708.8 49.2654 8.08 1.82ms 3.95ms
1700 863498.64 11300.3 54.8675 8.0 1.94ms 3.33ms
1800 865126.57 11006.1 51.6147 8.0 2.04ms 3.73ms
1900 861606.82 11586 56.2387 8.0 2.16ms 3.75ms
2048 848799.68 10849.6 51.5395 7.84 2.38ms 3.58ms
