conn RPS llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 13661.08 7406.29 0.406303 0.126171875 79.21us 489.00us
2 34497.45 8139.31 0.832048 0.31875 61.63us 361.00us
3 55663.98 7935.84 1.16486 0.514296875 56.54us 313.00us
4 72842.13 8532.2 1.64174 0.67296875 57.53us 319.00us
6 103194.93 8394.59 2.27468 0.953359375 60.53us 319.00us
10 164137.29 8461.82 3.59192 1.51640625 63.46us 322.00us
16 250183.54 8654.06 5.74449 2.311328125 66.20us 328.00us
64 715851.86 10252.9 22.6087 6.613515625 88.88us 366.00us
76 714675.50 9980.85 21.916 6.60265625 87.79us 362.00us
88 782250.10 10090.1 22.6462 7.2 100.67us 392.00us
100 821703.02 9975.6 26.4727 7.6 114.94us 416.00us
110 807324.86 10235.1 25.0828 7.44 132.65us 1.11ms
120 835644.80 10100.6 26.1156 7.76 151.41us 1.24ms
130 867088.21 9947.23 25.8533 8.0 145.63us 472.00us
140 860615.52 9880 24.1277 7.92 145.18us 468.00us
150 873035.32 10190.9 25.6076 8.08 161.43us 495.00us
170 874371.41 10010.3 26.5748 8.08 179.06us 519.00us
200 880686.14 10208.8 28.0119 8.16 225.04us 1.10ms
220 878960.59 10313.9 30.3697 8.16 251.76us 1.47ms
256 893597.11 9882.1 26.7864 8.24 280.29us 694.00us
384 896090.84 10878 31.9197 8.24 415.08us 0.87ms
496 907436.15 10505.1 36.6554 8.4 533.57us 1.06ms
512 910298.53 9815.92 32.8645 8.4 548.08us 1.05ms
750 909513.40 11075.5 37.8395 8.4 792.55us 1.44ms
850 901548.74 11136.4 38.4531 8.32 0.92ms 1.79ms
950 903495.67 10799.2 41.135 8.32 1.02ms 1.69ms
1024 901591.73 11347.6 45.4902 8.32 1.12ms 2.41ms
1148 904435.56 10966.2 39.5644 8.32 1.24ms 2.07ms
1400 885038.72 11315 44.707 8.16 1.55ms 2.60ms
1500 881551.11 10900 44.2387 8.16 1.66ms 2.87ms
1600 873436.59 11154.3 48.8982 8.08 1.80ms 3.17ms
1700 870677.14 11320.2 47.4414 8.08 1.92ms 3.19ms
1800 862617.21 11837.1 51.6785 8.0 2.05ms 3.50ms
1900 861973.32 10978.8 55.6989 8.0 2.16ms 3.60ms
2048 858046.71 11950.5 54.8356 7.92 2.35ms 3.69ms
