conn RPS llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 12480.43 20163.3 0.386974 0.1153125 85.65us 516.00us
2 33043.79 24493.6 0.772186 0.3053125 64.51us 393.00us
3 55686.11 25151.2 1.18497 0.514453125 56.54us 324.00us
4 73372.63 25473.7 1.41933 0.677890625 57.14us 318.00us
6 104566.29 24859.2 1.68696 0.96609375 59.72us 318.00us
10 167062.12 23370.6 1.5519 1.5434375 62.14us 320.00us
16 253851.14 24733.1 2.64525 2.345234375 64.75us 317.00us
64 725467.15 26297.3 14.9597 6.70234375 87.53us 358.00us
76 723775.90 27109.3 14.3061 6.68671875 86.37us 352.00us
88 794383.48 26802.6 14.4501 7.36 98.65us 381.00us
100 834928.01 26408.6 17.7329 7.68 113.71us 411.00us
110 816363.55 26596.7 19.0857 7.52 132.21us 1.12ms
120 848739.29 26635.6 19.0306 7.84 151.30us 1.28ms
130 872329.62 27118.8 21.3801 8.08 146.17us 483.00us
140 875523.67 26611.4 17.016 8.08 143.84us 471.00us
150 881011.05 27515.9 17.8967 8.16 159.80us 488.00us
170 882809.03 27668.2 19.536 8.16 176.65us 517.00us
200 892650.77 27580 18.5941 8.24 223.06us 1.13ms
220 898487.63 27072.6 21.9832 8.32 249.69us 1.53ms
256 911693.65 26547.3 17.0945 8.4 275.20us 682.00us
384 923888.43 26673.4 18.303 8.56 402.02us 834.00us
496 927426.69 27324.7 25.5345 8.56 522.61us 1.07ms
512 934843.06 27133.5 21.5676 8.64 533.75us 1.03ms
750 935959.12 26158.6 34.9094 8.64 769.22us 1.47ms
850 930550.74 26491.6 35.3535 8.56 0.89ms 1.88ms
950 936016.11 25904.4 31.1346 8.64 0.98ms 1.67ms
1024 939141.81 26075.6 32.2034 8.64 1.07ms 1.84ms
1148 935621.85 26772.1 32.171 8.64 1.19ms 1.99ms
1400 933873.32 26462.2 30.1562 8.64 1.47ms 2.33ms
1500 929636.11 26808.9 32.3221 8.56 1.57ms 2.54ms
