conn RPS llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 12205.35 19473.5 0.364364 0.112734375 187.08us 578.00us
2 33356.92 25908.6 0.663135 0.308203125 64.12us 400.00us
3 55157.79 25342.4 0.966642 0.509609375 56.91us 317.00us
4 72109.99 25859.2 1.18224 0.666171875 58.04us 321.00us
6 104036.19 23478.8 1.33425 0.961171875 60.04us 320.00us
10 167646.01 23838.1 1.82467 1.548828125 61.82us 317.00us
16 250345.55 25011.5 2.4526 2.312890625 65.72us 319.00us
64 725740.30 26781.6 12.5671 6.704921875 87.48us 356.00us
76 718922.50 26575.7 9.9916 6.641875 87.24us 354.00us
88 785174.18 26636.6 17.8136 7.28 99.98us 385.00us
100 826919.31 26240.6 17.4261 7.6 114.17us 410.00us
110 805644.37 26548.4 16.7827 7.44 131.53us 1.06ms
120 823765.79 26774.2 24.5272 7.6 155.32us 1.24ms
130 868757.47 26711.2 15.7658 8.0 145.96us 472.00us
140 869761.91 26793.1 18.2273 8.0 144.66us 471.00us
150 867221.99 27218.6 21.7284 8.0 162.45us 490.00us
170 880473.28 26453.8 20.295 8.16 177.26us 513.00us
200 874761.51 27173.4 23.6438 8.08 230.78us 1.27ms
220 881690.16 27521.1 23.3164 8.16 251.30us 1.46ms
256 896259.50 27503.3 22.2172 8.32 280.06us 695.00us
384 907689.12 26816.2 24.4519 8.4 412.13us 0.86ms
496 921077.42 27015.8 25.5285 8.48 524.21us 1.01ms
512 921412.03 27107.2 26.0427 8.48 542.07us 1.04ms
750 925072.02 27067.3 32.5095 8.56 781.25us 1.58ms
850 929082.29 27369.9 32.1902 8.56 0.89ms 2.01ms
950 929223.50 26979.1 25.595 8.56 0.99ms 1.66ms
1024 920815.90 26676.5 32.2701 8.48 1.09ms 1.89ms
1148 924080.75 26611.4 29.9717 8.56 1.21ms 2.01ms
1400 928360.83 25985.3 31.5612 8.56 1.47ms 2.31ms
1500 923884.81 26432.8 34.0846 8.56 1.59ms 2.52ms
1600 926714.97 26598.8 32.0606 8.56 1.70ms 2.89ms
1700 926426.67 25591.4 29.3262 8.56 1.80ms 2.76ms
1800 923030.13 25658.6 31.751 8.56 1.91ms 3.06ms
1900 920068.53 25780.4 33.0147 8.48 2.02ms 3.24ms
2048 920711.03 25897.1 33.4746 8.48 2.19ms 3.53ms
