conn RPS llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 10143.11 3854.37 0.366772 0.093671875 102.52us 554.00us
2 31585.78 6622.38 1.10412 0.291796875 65.59us 340.00us
3 48119.68 7663.43 1.51409 0.44453125 64.26us 330.00us
4 61959.34 7805.25 1.82393 0.572421875 66.82us 333.00us
6 93046.12 8383.03 2.66885 0.859609375 66.38us 326.00us
10 145359.68 8514.34 4.06902 1.34296875 70.45us 327.00us
16 217018.40 8671.92 5.45918 2.005 74.98us 337.00us
64 558878.16 9656.24 21.5283 5.16328125 114.61us 392.00us
76 558779.78 9641.54 21.7052 5.162421875 112.71us 389.00us
88 580356.19 10007.1 22.2193 5.36171875 137.01us 427.00us
100 593274.66 9324.28 21.0558 5.48109375 160.11us 460.00us
110 589406.04 9632.08 21.9115 5.4453125 160.16us 460.00us
120 595173.25 9656.24 23.3686 5.49859375 185.91us 499.00us
130 590133.66 9258.1 24.7779 5.45203125 217.19us 553.00us
140 599119.18 9778.1 23.4479 5.535078125 210.48us 528.00us
150 594350.29 9924.12 25.4356 5.491015625 240.22us 569.00us
170 602150.62 9831.68 27.1246 5.563046875 263.44us 596.00us
200 599612.15 9410.42 26.9276 5.539609375 316.89us 687.00us
220 600159.66 9377.86 24.4232 5.5446875 344.31us 709.00us
256 602754.71 9336.89 26.1074 5.568671875 419.47us 844.00us
384 595497.39 10146.8 33.1515 5.501640625 641.95us 1.25ms
496 589429.07 10034.4 38.4097 5.445546875 834.05us 1.44ms
512 585992.13 10331.7 37.7384 5.413828125 0.87ms 1.58ms
750 569247.38 10216.2 41.1079 5.2590625 1.29ms 2.31ms
850 557475.63 10196.2 45.3547 5.1503125 1.53ms 2.68ms
950 556857.24 10322.3 48.7849 5.144609375 1.74ms 4.50ms
1024 554602.44 10234 45.5741 5.123828125 2.31ms 7.68ms
1148 543209.15 9912.57 46.8563 5.018515625 2.13ms 4.91ms
1400 538017.06 10486.1 53.6337 4.970546875 3.66ms 11.62ms
1500 540022.18 10199.4 51.7464 4.9890625 4.06ms 12.18ms
1600 529670.69 10359 52.7934 4.8934375 4.82ms 14.43ms
1700 527992.87 10041.8 58.2876 4.87796875 4.56ms 12.92ms
1800 518831.33 10408.4 56.5181 4.793359375 4.11ms 11.90ms
1900 515018.54 10626.9 54.8485 4.758125 3.87ms 7.34ms
2048 510265.19 10509.3 60.0208 4.71421875 4.22ms 9.55ms
