conn RPS llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 12046.45 7460.41 0.391483 0.111328125 87.77us 498.00us
2 32777.16 7883.84 0.988194 0.3028125 63.02us 327.00us
3 49110.65 8442.91 1.22562 0.45375 63.39us 326.00us
4 61838.07 7940.77 1.40435 0.571328125 66.41us 326.00us
6 93140.20 8086.79 1.83908 0.86046875 66.01us 322.00us
10 145876.71 7909.25 3.0479 1.347734375 70.28us 327.00us
16 218198.85 8502.79 4.40837 2.015859375 74.62us 337.00us
64 560191.10 9952.48 18.8647 5.175390625 114.02us 392.00us
76 560216.99 9670.95 18.5811 5.175703125 112.30us 389.00us
88 580403.12 9969.29 20.2947 5.3621875 136.80us 427.00us
100 588904.40 9329.54 17.096 5.440703125 161.83us 460.00us
110 586061.81 9173.01 18.0347 5.414453125 161.46us 462.00us
120 591917.63 9871.6 21.1835 5.468515625 187.49us 494.00us
130 590104.51 10020.8 24.0038 5.451796875 214.80us 529.00us
140 593301.71 10119.5 22.953 5.481328125 212.70us 528.00us
150 592599.54 9867.39 23.9357 5.47484375 240.57us 561.00us
170 594301.67 9938.83 23.7686 5.490546875 266.19us 598.00us
200 591832.75 9614.22 31.5665 5.467734375 323.02us 676.00us
220 595876.09 9050.1 24.9245 5.505078125 345.96us 701.00us
256 596589.54 9600.57 24.104 5.51171875 422.72us 793.00us
384 588218.43 10319.1 31.3281 5.434375 651.61us 1.26ms
496 583958.32 10177.3 35.1065 5.395 849.19us 1.81ms
512 581628.25 9746.59 36.1794 5.373515625 0.87ms 1.38ms
750 563499.65 10132.1 38.0404 5.206015625 1.30ms 2.16ms
850 552103.06 10180.4 44.384 5.100703125 1.55ms 2.62ms
950 555069.82 10367.4 41.4675 5.128125 2.07ms 6.98ms
1024 542034.76 9643.64 41.5323 5.00765625 1.98ms 5.54ms
1148 535497.17 10266.6 49.4689 4.947265625 2.14ms 4.06ms
1400 531178.42 10716.2 51.5213 4.907421875 3.45ms 10.91ms
1500 532855.56 10854.9 53.2201 4.922890625 4.21ms 12.42ms
1600 525125.80 10909.5 50.109 4.851484375 4.04ms 12.01ms
1700 527220.49 11192.1 48.6696 4.870859375 6.02ms 17.93ms
1800 510076.93 10762.4 53.1586 4.712421875 3.68ms 8.56ms
1900 524594.28 11492.5 53.6078 4.8465625 5.35ms 14.73ms
2048 512397.37 11208.9 56.7887 4.73390625 5.18ms 15.28ms
