conn RPS llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 9957.45 17963.3 0.342537 0.09203125 195.71us 614.00us
2 31961.10 24795.1 0.762828 0.2953125 64.29us 335.00us
3 47977.95 25521.4 0.919095 0.44328125 64.59us 333.00us
4 62767.88 24346.5 1.03976 0.579921875 65.73us 329.00us
6 93484.60 24823.4 1.5237 0.863671875 65.88us 323.00us
10 148503.03 24084.9 1.90689 1.371953125 68.69us 322.00us
16 216196.13 23851.7 2.52084 1.99734375 75.14us 334.00us
64 568466.43 26351.9 14.6607 5.251875 112.82us 385.00us
76 572556.19 26118.7 11.6762 5.2896875 109.80us 380.00us
88 593638.07 26052.5 12.3363 5.484453125 133.33us 418.00us
100 603366.53 26521.1 13.3286 5.574296875 157.09us 452.00us
110 600951.45 26522.1 13.3866 5.55203125 156.81us 452.00us
120 602052.81 26302.5 17.5676 5.5621875 185.37us 491.00us
130 603938.29 26711.2 16.18 5.579609375 210.14us 520.00us
140 605170.03 26329.9 16.5235 5.5909375 209.18us 519.00us
150 613136.80 26414.9 11.3557 5.664609375 231.25us 545.00us
170 601617.75 26867.7 21.1487 5.558125 269.50us 739.00us
200 607263.24 27221.7 19.8183 5.6103125 313.95us 658.00us
220 610735.67 26733.3 17.8751 5.642421875 335.95us 688.00us
256 615969.23 26449.6 13.669 5.69078125 410.78us 775.00us
384 610940.32 27307.9 22.1695 5.644296875 624.54us 1.09ms
496 614769.39 27378.3 18.8127 5.6796875 801.03us 1.34ms
512 612139.65 27511.7 20.4788 5.655390625 834.54us 1.68ms
750 607773.21 26964.4 24.9587 5.615 1.21ms 2.11ms
850 608279.94 27441.3 24.2529 5.6196875 1.40ms 2.21ms
950 602616.60 27549.5 25.9279 5.567421875 1.58ms 2.39ms
1024 608653.17 27272.2 22.1541 5.623125 1.68ms 2.46ms
1148 596434.06 26957 27.6501 5.510234375 1.98ms 5.06ms
1400 591650.16 27284.8 27.6403 5.46609375 2.49ms 5.71ms
1500 586377.16 27541.1 30.5572 5.41734375 3.84ms 11.44ms
1600 585423.50 27418.2 31.1019 5.408515625 4.32ms 13.04ms
1700 584084.33 27887.8 31.5527 5.396171875 3.31ms 9.06ms
1800 581555.73 27069.4 33.1106 5.3728125 6.54ms 25.77ms
1900 574972.85 27997 32.9267 5.31203125 3.68ms 9.88ms
2048 573408.28 27365.7 35.4364 5.297578125 4.65ms 12.50ms
