conn RPS llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 9912.90 18275.3 0.309503 0.0915625 221.52us 634.00us
2 31363.22 24695.3 0.703895 0.289765625 66.27us 349.00us
3 48736.87 24835 0.945867 0.450234375 63.67us 333.00us
4 62756.56 24747.8 1.00034 0.579765625 66.02us 333.00us
6 92464.22 24397.6 1.46516 0.85421875 66.67us 328.00us
10 146920.48 24163.7 1.67884 1.35734375 69.87us 327.00us
16 217208.55 24498.8 2.20473 2.00671875 74.80us 336.00us
64 571002.03 26440.2 11.6622 5.2753125 112.20us 385.00us
76 576416.63 26499 11.6385 5.3253125 109.11us 379.00us
88 598067.00 26127.1 11.6092 5.5253125 132.30us 416.00us
100 601761.92 26490.6 15.9638 5.559453125 158.64us 453.00us
110 603206.47 26808.9 14.3464 5.5728125 156.72us 451.00us
120 606247.70 26879.3 17.0966 5.6009375 183.31us 485.00us
130 607810.68 26760.6 17.1478 5.615390625 209.72us 519.00us
140 604378.61 27162.9 19.5014 5.583671875 210.41us 527.00us
150 608801.59 26095.6 19.5205 5.62453125 235.50us 552.00us
170 614860.08 27262.7 15.0347 5.68046875 256.71us 579.00us
200 611954.53 26885.6 19.1396 5.653671875 311.55us 662.00us
220 610506.81 26745.9 19.5958 5.6403125 336.97us 687.00us
256 613255.69 27385.6 18.5396 5.665703125 413.86us 0.86ms
384 616175.60 27131.4 17.7007 5.69265625 618.31us 1.06ms
496 613617.56 26930.7 24.3214 5.668984375 803.13us 1.42ms
512 610461.30 27382.5 22.1287 5.63984375 832.84us 1.46ms
750 612323.03 27250.1 25.7673 5.65703125 1.22ms 2.75ms
850 606737.41 27124 25.5122 5.60546875 1.41ms 2.36ms
950 605310.92 27303.7 27.8612 5.592265625 1.58ms 2.65ms
1024 607626.72 27190.2 25.4675 5.613671875 1.69ms 2.68ms
1148 602377.92 27433.9 26.3458 5.56515625 1.89ms 2.86ms
1400 591660.54 27657.7 29.9824 5.466171875 3.05ms 9.53ms
1500 591443.88 26929.7 30.3716 5.464140625 3.71ms 10.95ms
1600 586425.40 27160.8 31.8589 5.4178125 4.33ms 12.89ms
1700 584608.53 27381.4 31.6419 5.401015625 4.17ms 12.15ms
1800 578690.95 27164 33.005 5.346328125 3.76ms 10.06ms
1900 577688.30 27326.8 32.5356 5.337109375 3.41ms 6.02ms
2048 575032.56 27485.4 36.6085 5.312578125 4.10ms 11.77ms
