conn RPS llc_misses(thousands) llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 12471.23 236.314 2380.13 0.0181232 0.117421875 120.53us 551.00us
2 33235.10 564.418 2986.43 0.0305193 0.31296875 64.54us 407.00us
3 56289.30 929.452 3763.83 0.0965753 0.530078125 55.92us 313.00us
4 73768.80 1182.95 3821.91 0.165153 0.6946875 56.89us 315.00us
6 103553.53 1671.96 4008 0.122833 0.975234375 60.47us 318.00us
10 168277.15 2752.3 5612.87 0.456166 1.584765625 61.85us 319.00us
16 250949.28 4217.82 6512.7 1.03799 2.36328125 65.91us 323.00us
64 715895.61 14845.3 9247.65 7.58863 6.741953125 89.16us 367.00us
76 695014.04 14151.5 8885.91 6.69314 6.5453125 99.30us 563.00us
88 787523.79 16673.9 9029.22 9.72355 7.44 101.58us 406.00us
100 822686.87 17195.9 9261.57 9.94358 7.76 128.52us 0.92ms
110 827233.28 17374.3 9182.96 8.68877 7.76 117.90us 464.00us
120 850178.36 17662.1 9293.22 11.6739 8.0 142.11us 0.91ms
130 867764.41 18149.5 9356.52 10.664 8.16 149.76us 550.00us
140 868718.38 18011.4 9106.09 10.4835 8.16 154.00us 749.00us
150 872136.80 18256.2 9106.43 11.224 8.24 170.23us 700.00us
170 881952.24 18386.3 9419.83 12.8578 8.32 187.71us 0.85ms
200 886944.21 18856.7 9054.26 11.2783 8.32 220.72us 0.88ms
220 898468.58 19159.9 9388.52 9.59358 8.48 226.09us 593.00us
256 908158.67 19425.3 9156.52 12.3046 8.56 284.47us 1.03ms
384 924248.42 20732.2 10031.7 13.7912 8.72 408.23us 0.92ms
496 935933.42 21426.9 10176 15.9938 8.8 517.30us 1.05ms
512 934091.11 21552.3 10657.7 16.9415 8.8 537.17us 1.14ms
750 940784.30 22611.6 10857 23.4895 8.88 766.47us 1.35ms
850 934794.85 23061.4 11664 29.3196 8.8 0.89ms 1.64ms
950 935182.36 23302.3 10997.6 25.7657 8.8 0.99ms 1.70ms
1024 930632.48 23192.7 10803.8 22.1975 8.8 1.08ms 1.80ms
1148 927331.70 23393.4 11684.9 26.3422 8.72 1.21ms 1.94ms
1400 915759.40 23292 11013.2 28.7097 8.64 1.50ms 2.30ms
1500 909555.89 23204.5 11163.8 30.2755 8.56 1.61ms 2.43ms
1600 906315.57 23169 11922.8 33.7822 8.56 1.74ms 2.58ms
1700 901899.15 23181.8 12052.5 37.5786 8.48 1.86ms 3.10ms
1800 899545.68 23104.6 11933.9 34.0257 8.48 1.97ms 2.95ms
1900 894162.39 23030.3 11493.9 31.9533 8.4 2.11ms 4.83ms
2048 890628.81 23037.2 11508.9 30.8943 8.4 2.28ms 4.32ms
