conn RPS llc_misses(thousands) llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 10437.44 231.097 3605.57 0.0344607 0.09828125 99.74us 545.00us
2 31967.63 666.729 3886.04 0.0825805 0.30109375 64.74us 341.00us
3 48400.22 954.856 3596.17 0.21714 0.45578125 64.12us 334.00us
4 63478.34 1213.74 3846.26 0.285858 0.5978125 65.05us 327.00us
6 95095.83 1966.81 4897.74 0.458306 0.895546875 64.72us 321.00us
10 147152.83 3166.46 6137.39 0.655799 1.38578125 69.51us 323.00us
16 217593.48 4964.6 6796.87 1.29201 2.04921875 74.70us 335.00us
64 571922.83 15676.8 9614.26 6.64717 5.38609375 110.54us 389.00us
76 572048.45 15641.5 9548.52 7.12498 5.387265625 108.80us 381.00us
88 597645.57 16253.5 8898.78 7.2293 5.628359375 131.31us 421.00us
100 605912.10 16855 9191.3 7.64957 5.706171875 155.03us 452.00us
110 603801.41 16737 8666.78 7.22905 5.686328125 154.91us 454.00us
120 607643.58 17356.5 9265.39 8.82998 5.7225 180.15us 488.00us
130 608919.24 17898.1 9335.3 9.4707 5.73453125 205.62us 519.00us
140 608908.67 17933.2 9132.87 8.50589 5.734375 205.37us 517.00us
150 609918.53 18446.6 9310.61 10.7917 5.74390625 230.96us 547.00us
170 612329.53 18826.1 9061.57 10.2258 5.766640625 255.31us 577.00us
200 612725.25 19722.3 8886.61 12.1656 5.7703125 306.63us 642.00us
220 610741.62 20090.9 9128 12.2182 5.751640625 333.42us 677.00us
256 612864.95 21372.5 8797.91 11.577 5.771640625 408.79us 771.00us
384 610822.15 23368.1 10104.3 17.7747 5.752421875 619.24us 1.06ms
496 601125.83 24150.3 9568.35 19.206 5.66109375 814.58us 1.32ms
512 600082.37 24166.1 10358.6 20.164 5.65125 846.26us 1.45ms
750 579929.73 24169 10585 24.6855 5.461484375 1.26ms 1.91ms
850 569153.43 23859.2 10908.2 32.4401 5.36 1.48ms 2.10ms
950 562514.53 23631.7 10390.6 36.1454 5.2975 1.68ms 2.97ms
1024 563160.54 23630.2 10812.5 34.4852 5.30359375 2.06ms 8.18ms
1148 552045.63 23302.7 10439.3 31.4097 5.19890625 2.07ms 4.01ms
1400 537909.86 22907.3 9906.78 34.6973 5.06578125 2.59ms 4.01ms
1500 539909.28 23002 10699.8 37.7068 5.084609375 3.35ms 11.78ms
1600 538021.42 22852.3 11214.6 38.3671 5.066796875 3.65ms 12.94ms
1700 532001.50 22711.7 10870.6 38.6644 5.01015625 3.38ms 9.97ms
1800 529166.13 22583.5 11542.3 45.62 4.9834375 3.53ms 8.62ms
1900 530848.02 22675.9 10965.2 46.4681 4.999296875 3.88ms 11.98ms
2048 522278.16 22513.3 11373.9 48.6179 4.918515625 3.93ms 7.27ms
