conn RPS llc_misses(thousands) llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 11774.16 202.93 5737.04 0.0626067 0.0446875 92.12us 548.00us
2 32232.82 494.348 6530.43 0.177862 0.12234375 66.07us 372.00us
3 51607.53 786.957 6837.91 0.324431 0.19640625 61.36us 328.00us
4 67521.26 1043.71 7162.78 0.454116 0.256953125 62.57us 326.00us
6 98694.70 1718.14 7325.22 0.678269 0.373671875 75.83us 338.00us
10 156314.25 3050.01 8590.61 1.31273 0.5959375 67.69us 348.00us
16 232213.97 5090.46 9776.35 2.72708 0.883359375 72.97us 365.00us
64 425563.52 12453 11679.3 6.95494 1.608203125 163.28us 508.00us
76 424675.90 12533.7 11102.6 6.54187 1.613203125 155.61us 500.00us
88 421705.77 12802.1 11171.1 6.8265 1.600859375 190.29us 557.00us
100 422968.20 12937.5 10940.2 7.27298 1.608359375 228.08us 608.00us
110 425000.90 13039.7 11650.4 7.51187 1.61328125 226.32us 608.00us
120 423602.57 12983.4 10596.9 6.73151 1.60890625 280.17us 669.00us
130 424377.93 13178.1 10831.3 6.23687 1.605859375 300.85us 713.00us
140 373674.45 12965.5 10196.7 6.50226 1.41546875 310.53us 761.00us
150 318839.11 13134.9 11139.8 6.28782 1.209375 337.76us 776.00us
170 284545.01 13038.6 8878.29 5.41101 1.08140625 40.79ms 992.04ms
200 288769.80 22799 10104 10.7794 1.0971875 661.51us 1.34ms
220 431924.81 13980.8 11392 7.72307 1.640859375 477.59us 0.95ms
256 432852.32 13993.2 10594.4 7.42565 1.645390625 591.09us 1.18ms
384 635485.21 17565.8 8840 10.6619 2.411328125 607.61us 1.61ms
496 433410.13 14850.8 10254.3 7.87987 1.643671875 1.14ms 1.89ms
512 633199.98 17983.9 9268.48 10.4729 2.40671875 812.41us 1.98ms
750 639932.93 18438.4 9297.6 12.2957 2.424375 1.15ms 2.53ms
850 431830.60 15427.7 9771.48 7.94608 1.644140625 1.96ms 3.15ms
950 639638.62 18691.8 9434.88 16.2753 2.41625 1.49ms 3.17ms
1024 641529.71 18611 10088 15.1304 2.43359375 1.65ms 4.66ms
1148 433094.88 15708.9 10742.6 10.703 1.650625 2.64ms 6.03ms
1400 431446.00 15635.2 10061.9 10.3464 1.640234375 3.22ms 6.18ms
1500 431840.08 15826.2 10950.3 11.7182 1.634453125 3.43ms 5.51ms
1600 431048.41 15652.8 10365.9 11.6782 1.638125 3.70ms 5.37ms
1700 429876.17 15657.9 10743.7 11.8004 1.62546875 3.94ms 8.01ms
1800 430281.40 15672.2 10529 11.5714 1.6365625 4.17ms 8.49ms
1900 428374.35 15633.4 10706.1 12.2509 1.6246875 4.45ms 8.88ms
2048 428311.79 15591.5 10300.5 12.9435 1.627578125 4.75ms 7.50ms
