conn RPS llc_misses(thousands) llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
1 10079.34 195.191 1495.79 0.013161 0.038203125 103.22us 552.00us
2 31341.26 517.338 2001.48 0.0252669 0.118828125 66.52us 345.00us
3 47194.99 768.632 2742.74 0.074903 0.179140625 75.96us 337.00us
4 62304.07 980.298 2600.35 0.0740617 0.23625 66.97us 332.00us
6 91978.36 1584.65 3489.04 0.16392 0.347265625 67.53us 327.00us
10 143108.52 2757.74 4497.74 0.383283 0.54203125 72.33us 340.00us
16 210995.46 4408.23 5307.83 1.002 0.799140625 78.32us 359.00us
64 541687.87 15278.5 7913.39 6.31261 2.052265625 119.40us 448.00us
76 542477.07 15303.8 7812.52 6.38958 2.05953125 117.34us 440.00us
88 558703.63 15747.1 7905.39 6.52712 2.11890625 143.70us 487.00us
100 565698.11 16195.2 8350.26 6.85712 2.149140625 168.85us 522.00us
110 565284.18 16233.5 8134.61 6.92924 2.140703125 168.56us 519.00us
120 567436.80 16735.6 8518.61 7.86899 2.160078125 195.60us 560.00us
130 566334.30 17200.5 8549.57 7.61436 2.14359375 224.12us 599.00us
140 564883.88 17285.2 8438.61 8.03148 2.1434375 224.58us 606.00us
150 570398.95 17707.1 8485.57 8.03983 2.16734375 249.99us 638.00us
170 569908.70 18240.8 8690.43 9.17878 2.162734375 277.27us 678.00us
200 571747.37 19067.4 8609.74 9.40322 2.162109375 331.59us 773.00us
220 571543.73 19486.8 8835.13 11.3212 2.166640625 361.79us 0.86ms
256 571657.84 20250.3 9051.13 10.4939 2.171953125 440.98us 0.91ms
384 569492.87 22538.5 8846.26 13.6295 2.16421875 666.97us 1.30ms
496 564519.71 23342.7 9545.74 18.6568 2.1425 0.88ms 1.86ms
512 567254.76 23299.8 9426.78 12.4157 2.15015625 0.89ms 1.62ms
750 551387.96 23735.3 9072.35 20.3434 2.095390625 1.33ms 2.11ms
850 547122.31 23402.5 9686.26 21.5228 2.071796875 1.54ms 2.41ms
950 541634.94 23294 9571.83 24.5485 2.05671875 1.75ms 3.49ms
1024 535636.65 23121.4 10175.7 28.2382 2.030234375 1.90ms 2.85ms
1148 530968.40 22926.9 9992 29.5345 2.02078125 2.13ms 3.31ms
1400 524734.56 22734.1 10022.3 32.5836 1.990703125 3.14ms 11.85ms
1500 520238.86 22529.2 10562.1 32.5461 1.977109375 3.32ms 12.13ms
1600 518627.17 22470.4 10758.3 33.2829 1.970078125 3.66ms 12.64ms
1700 513096.20 22356.6 10541.2 31.3545 1.95375 3.58ms 11.52ms
1800 505957.46 22354.2 11050.4 38.5948 1.915546875 3.57ms 5.64ms
1900 511599.03 22249.8 10909.9 33.5825 1.9415625 4.26ms 14.02ms
2048 514159.81 22295.2 10443.1 30.7156 1.94796875 5.18ms 19.66ms
